"Lượt bắt đầu báo cáo","Lượt kết thúc báo cáo","Tên chiến dịch","Lượt phân phối chiến dịch","Kết quả","Chỉ báo kết quả","Chi phí trên mỗi kết quả","Ngân sách nhóm quảng cáo","Loại ngân sách nhóm quảng cáo","Số tiền đã chi tiêu (VND)","Kết thúc","Cài đặt ghi nhận","Lượt mua","Giá trị chuyển đổi từ lượt mua","ROAS (lợi nhuận trên chi tiêu quảng cáo) của lượt mua","Người liên hệ nhắn tin mới","Chi phí trên mỗi người liên hệ nhắn tin mới (VND)","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Chi phí trên mỗi lượt bắt đầu cuộc trò chuyện qua tin nhắn (VND)","Đơn đặt hàng đã tạo","Đơn đặt hàng đã vận chuyển","Ngày tạo","Người tiếp cận","Lượt hiển thị","Lượt tương tác với bài viết","Tần suất","Lượt click vào liên kết"
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | KIDS CLUB ĐÃ QUAY TRỞ LẠI | 40.000 | 7/7 - 14/7",inactive,43745,reach,6294.89084467,"Sử dụng ngân sách nhóm quảng cáo",0,275370,2026-07-14,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-07,43745,50460,19,1.153503,9
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | CẢNH BÁO CHỈ CÒN 10 NGÀY ĐỂ | 23/7 - 30/7 | 50.000",active,41598,reach,6799.94230492,"Sử dụng ngân sách nhóm quảng cáo",0,282864,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-23,41598,47981,236,1.153445,25
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | [KHAI TRƯƠNG]✨ LEVENTS | 23/7 - 30/7 | 30.000",inactive,27663,reach,6804.14271771,"Sử dụng ngân sách nhóm quảng cáo",0,188223,2026-07-30,"Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-07-23,27663,32866,65,1.188085,13
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | TOUCH SPRING 2026 | 150.000 | 11/3-22/3",inactive,143462,reach,13418.20830603,"Sử dụng ngân sách nhóm quảng cáo",0,1925003,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,9,213889.222222,9,213889.222222,,,2026-03-11,143462,254620,299,1.774825,266
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  Khởi động đường đua ''F5'' | 150.000 | 15/3-30/3 - Bản sao",inactive,146467,reach,8131.0670663,"Sử dụng ngân sách nhóm quảng cáo",0,1190933,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,4,297733.25,7,170133.285714,,,2026-03-16,146467,206715,526,1.411342,33
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  SHOPPING LIỀN TAY - KHÔNG LO VỀ GIÁ' | 150.000 | 16/3-30/3",inactive,154226,reach,8069.85203532,"Sử dụng ngân sách nhóm quảng cáo",0,1244581,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,4,311145.25,4,311145.25,,,2026-03-16,154226,217131,177,1.407875,50
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |  LÊN KÈO PAWTY CÙNG BOSS  | 50.000 | 23/3-29/3",inactive,62626,reach,5592.74103408,"Sử dụng ngân sách nhóm quảng cáo",0,350251,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-03-23,62626,69262,110,1.105962,94
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | Khoảnh khắc đáng yêu của khách hàng | 50.000 | 23/3-29/3",inactive,52168,reach,7186.20610336,"Sử dụng ngân sách nhóm quảng cáo",0,374890,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,4,93722.5,4,93722.5,,,2026-03-23,52168,61948,143,1.187471,2
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach |GIA NHẬP ""BIỆT ĐỘI""  | 50.000 | 3/4-8/4",inactive,50254,reach,5529.37079635,"Sử dụng ngân sách nhóm quảng cáo",0,277873,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-03,50254,57084,259,1.13591,48
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | Cả nhà có ai đã trượt thử zipline ở MALL chưa? | 30.000 | 14/4-20/4",inactive,31604,reach,7191.81116314,"Sử dụng ngân sách nhóm quảng cáo",0,227290,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-04-14,31604,35211,4373,1.114131,48
2026-03-11,2026-07-27,"Aeon Mall Tân Phú | Reach | KHAI TRƯƠNG CANIFA  | 50.000 | 14/4-20/4",inactive,51416,reach,5252.64509102,"Sử dụng ngân sách nhóm quảng cáo",0,270070,"Đang diễn ra","Lượt click trong 7 ngày hoặc lượt xem trong 1 ngày",,,,,,,,,,2026-05-07,51416,55289,24,1.075327,9
